epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2635.69,1.31636,1.74586,1.31814,0.50064,0.33861,0.4266,0.26381,0.91711,2.10837,0.90816,0.000614,0.000614,0.000614
44,2694.63,1.32628,1.86843,1.31333,0.39423,0.41139,0.42614,0.27704,0.88823,1.87082,0.91004,0.000581,0.000581,0.000581
45,2753.56,1.2643,1.77203,1.28707,0.40364,0.45253,0.43732,0.28139,0.90297,1.58966,0.91461,0.000548,0.000548,0.000548
46,2813.1,1.26401,1.66145,1.29704,0.37975,0.36076,0.38411,0.24686,0.90172,2.6423,0.91034,0.000515,0.000515,0.000515
47,2873.51,1.28158,1.66968,1.28382,0.42007,0.38608,0.423,0.26724,0.91439,4.83485,0.93161,0.000482,0.000482,0.000482
48,2932.23,1.24965,1.61881,1.2784,0.41946,0.37342,0.42579,0.27655,0.88379,1.83629,0.90953,0.000449,0.000449,0.000449
49,2992.41,1.23615,1.64051,1.25911,0.45463,0.36709,0.42478,0.27381,0.8891,3.04767,0.90932,0.000416,0.000416,0.000416
50,3051.52,1.22021,1.57426,1.25606,0.45324,0.41139,0.43872,0.28264,0.88577,2.41991,0.90528,0.000383,0.000383,0.000383
51,3112.58,1.14537,1.8403,1.23755,0.44207,0.35759,0.42299,0.27127,0.87806,1.88822,0.90211,0.00035,0.00035,0.00035
52,3170.1,1.12906,1.85279,1.23408,0.34915,0.4557,0.39645,0.25652,0.8854,7.91378,0.91696,0.000317,0.000317,0.000317
53,3227.81,1.15213,1.75961,1.25657,0.37185,0.47958,0.43891,0.28467,0.87821,1.59195,0.9083,0.000284,0.000284,0.000284
54,3285.31,1.10346,1.49442,1.22008,0.35899,0.52848,0.44509,0.29173,0.87134,1.53844,0.90449,0.000251,0.000251,0.000251
55,3342.67,1.10995,1.63635,1.19701,0.46511,0.38608,0.44569,0.28718,0.90292,1.92538,0.92881,0.000218,0.000218,0.000218
56,3400.13,1.08422,1.54105,1.25985,0.42228,0.41139,0.42607,0.27811,0.87214,1.7268,0.90561,0.000185,0.000185,0.000185
57,3457.29,1.0641,1.55442,1.2149,0.43222,0.43987,0.44988,0.28768,0.87128,1.33943,0.90696,0.000152,0.000152,0.000152
58,3514.92,1.06044,1.44079,1.22264,0.40975,0.46203,0.4569,0.29885,0.8566,1.73054,0.89761,0.000119,0.000119,0.000119
59,3572.31,1.10927,1.48036,1.27221,0.5016,0.38291,0.44041,0.28915,0.86604,1.60405,0.90555,8.6e-05,8.6e-05,8.6e-05
60,3630.16,1.02868,1.68992,1.1634,0.45311,0.39557,0.44327,0.29099,0.85788,1.58001,0.90056,5.3e-05,5.3e-05,5.3e-05
